time,lambda_star_Fx,lambda_star_Fy,lambda_star_Fz,meas_Fx,meas_Fy,meas_Fz
1756188580.478793,-7.0,0.0,0.0,-1.33,0.0,0.0
1756188580.5387557,-7.0,0.0,0.0,-0.75,0.0,0.0
1756188580.5987327,-7.0,0.0,0.0,-0.8300000000000001,0.0,0.0
1756188580.6488168,-7.0,0.0,0.0,-0.20999999999999996,0.0,0.0
1756188580.708742,-7.0,0.0,0.0,-0.8899999999999997,0.0,0.0
1756188580.7587514,-7.0,0.0,0.0,-0.16999999999999993,0.0,0.0
1756188580.8087623,-7.0,0.0,0.0,-1.7500000000000009,0.0,0.0
1756188580.8587682,-7.0,0.0,0.0,-0.6699999999999999,0.0,0.0
1756188580.9187636,-7.0,0.0,0.0,-0.8500000000000005,0.0,0.0
1756188580.968906,-7.0,0.0,0.0,-1.0300000000000002,0.0,0.0
1756188581.0287476,-7.0,0.0,0.0,-0.75,0.0,0.0
1756188581.0787795,-7.0,0.0,0.0,-0.46999999999999975,0.0,0.0
1756188581.1387284,-7.0,0.0,0.0,-0.9100000000000001,0.0,0.0
1756188581.1887589,-7.0,0.0,0.0,-1.0499999999999998,0.0,0.0
1756188581.248826,-7.0,0.0,0.0,-1.71,0.0,0.0
1756188581.3087947,-7.0,0.0,0.0,-0.41000000000000014,0.0,0.0
1756188581.3687782,-7.0,0.0,0.0,-1.4699999999999998,0.0,0.0
1756188581.428734,-7.0,0.0,0.0,-1.21,0.0,0.0
1756188581.4787476,-7.0,0.0,0.0,-1.6499999999999995,0.0,0.0
1756188581.5387273,-7.0,0.0,0.0,-0.23000000000000043,0.0,0.0
1756188581.588765,-7.0,0.0,0.0,-0.9100000000000001,0.0,0.0
1756188581.638931,-7.0,0.0,0.0,-0.8300000000000001,0.0,0.0
1756188581.698733,-7.0,0.0,0.0,-0.5499999999999998,0.0,0.0
1756188581.7487605,-7.0,0.0,0.0,-1.5100000000000007,0.0,0.0
1756188581.8087666,-7.0,0.0,0.0,-1.21,0.0,0.0
1756188581.868738,-7.0,0.0,0.0,-0.5300000000000002,0.0,0.0
1756188581.918761,-7.0,0.0,0.0,-2.0900000000000007,0.0,0.0
1756188581.9803255,-7.0,0.0,0.0,-1.1100000000000003,0.0,0.0
